scheme_code,scheme_name,fund_house,category
150533,Tata Housing Opportunities Fund - Direct Plan - IDCW Reinvestment,Tata Housing Opportunities Fund,Other
150537,Tata Housing Opportunities Fund - Regular Plan - Growth,Tata Housing Opportunities Fund,Other
150535,Tata Housing Opportunities Fund - Regular Plan - IDCW Payout,Tata Housing Opportunities Fund,Other
135806,TATA India Consumer Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,TATA India Consumer Fund,Other
135801,TATA India Consumer Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA India Consumer Fund,Other
135802,TATA India Consumer Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,TATA India Consumer Fund,Other
135803,TATA India Consumer Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA India Consumer Fund,Other
135805,Tata India Consumer Fund-Direct Plan-Growth,Tata India Consumer Fund-Direct,Other
135804,Tata India Consumer Fund-Regular Plan-Growth,Tata India Consumer Fund-Regular,Other
153055,Tata India Innovation Fund- Direct Growth,Tata India Innovation Fund-,Other
153057,Tata India Innovation Fund- Direct IDCW payout,Tata India Innovation Fund-,Other
153056,Tata India Innovation Fund- Direct IDCW Reinvestment,Tata India Innovation Fund-,Other
153059,Tata India Innovation Fund- Regular Growth,Tata India Innovation Fund-,Other
153054,Tata India Innovation Fund- Regular IDCW payout,Tata India Innovation Fund-,Other
135807,TATA India Pharma & Health Care Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,TATA India Pharma &,Other
135809,TATA India Pharma & Health Care Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,TATA India Pharma &,Other
135808,TATA India Pharma & Healthcare Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option,TATA India Pharma &,Other
135811,TATA India Pharma & Healthcare Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA India Pharma &,Other
135810,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,Tata India Pharma &,Other
135812,Tata India Pharma & Healthcare Fund-Regular Plan-Growth,Tata India Pharma &,Other
119243,Tata Infrastructure Fund -Direct Plan -Growth Option,Tata Infrastructure Fund -Direct,Other
101852,TATA Infrastructure Fund Regular Plan - Payout of IDCW Option,TATA Infrastructure Fund Regular,Other
119244,Tata Infrastructure Fund- Direct Plan - Payout of IDCW Option,Tata Infrastructure Fund- Direct,Other
101766,Tata Infrastructure Fund-Regular Plan- Growth Option,Tata Infrastructure Fund-Regular Plan-,Other
147869,TATA Quant Equity Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,TATA Quant Equity Fund,Equity
147868,TATA Quant Equity Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,TATA Quant Equity Fund,Equity
147865,TATA Quant Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA Quant Fund Direct,Other
